Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
1.68,0.303558532852853,-0.303558538581409,-2.9381847711969,0.296347702741595,-0.296347709923535,-1.93823676860918,-0.00721107862800223,-0.00721089260185879
1.7,0.309891409702279,-0.309891409486606,-2.93991653940425,0.30324244795944,-0.303242455104071,-1.93996074902481,-0.00664915035257519,-0.00664901073413052
1.72,0.316256524265501,-0.316256526750932,-2.94159956041691,0.310163480242545,-0.310163487440263,-1.94163668626283,-0.00609319011996631,-0.00609308172448389
1.74,0.322651716271446,-0.322651724664955,-2.94323518511291,0.317108607426742,-0.317108614708101,-1.94326591164679,-0.00554322350579902,-0.00554313723140817
1.76,0.329074688085581,-0.329074699200996,-2.94482472748396,0.324075654219468,-0.324075661543052,-1.94484971815477,-0.00499912094526009,-0.00499905468760614
1.78,0.335523396822679,-0.335523405712665,-2.94636946551027,0.331062472597223,-0.331062479906395,-1.94638936556027,-0.00446098498867141,-0.00446093902087144
1.8,0.341996033595984,-0.341996037290089,-2.94787064240901,0.338066942002206,-0.3380669492663,-1.9478860802749,-0.0039291284619743,-0.00392910170324395
1.82,0.348491023517215,-0.348491024759921,-2.94932946663436,0.345086969340367,-0.345086976589953,-1.94934105426589,-0.00340407446672942,-0.00340406075100982
1.84,0.355006738761112,-0.355006744065587,-2.95074711633553,0.352120485501235,-0.352120492804281,-1.95075544682234,-0.0028862672906368,-0.0028862572671934
1.86,0.361540884137906,-0.361540893346245,-2.9521247424874,0.359165435983229,-0.359165443334196,-1.95213038526167,-0.00237545894815829,-0.00237545038869479
1.88,0.368091322198299,-0.368091332172033,-2.95346346227776,0.366219794226496,-0.366219801586547,-1.95346696490573,-0.00187153495567466,-0.0018715290643458
1.9,0.37465616669519,-0.374656173979479,-2.95476436368428,0.373281565185216,-0.373281572514434,-1.95476625321532,-0.001374603196615,-0.00137460194286565
1.92,0.381233780968276,-0.381233784411362,-2.95602850552498,0.380348785316312,-0.380348792601729,-1.95602928873919,-0.000884992271726377,-0.00088499576748842
1.94,0.387822770811724,-0.387822774068594,-2.95725691755256,0.387419522498478,-0.387419529779559,-1.95725708016015,-0.000403244332749485,-0.000403248324174856
1.96,0.394421382135501,-0.394421388448569,-2.95845060420221,0.39449186824358,-0.394491875554442,-1.95845060917058,7.04871061056432e-05,7.0486108137364e-05
1.98,0.401027381750115,-0.401027390158048,-2.95961054034987,0.40156393548902,-0.401563942816496,-1.95961082823925,0.000536552761427038,0.000536553764649874
2,0.407638812395264,-0.40763882065699,-2.9607376742445,0.408633870838542,-0.408633878154966,-1.96073866438535,0.000995058154808087,0.00099505860748576
2.02,0.414253980860577,-0.414253987090399,-2.96183293007836,0.415699855063553,-0.415699862344992,-1.96183502063427,0.00144587726971682,0.00144587470675482
2.04,0.420871457985615,-0.420871462288317,-2.96289720798696,0.422760103103373,-0.422760110348612,-1.96290077497926,0.00188865255149589,0.00188864624055355
2.06,0.427489977102036,-0.427489982307176,-2.9639313842508,0.429812862803768,-0.429812870044606,-1.96393678006807,0.00232289609337047,0.00232288779070732
2.08,0.434107589257151,-0.434107595854445,-2.96493630939227,0.436856403916008,-0.436856411156984,-1.96494386540462,0.00274882914931589,0.00274881812053505
2.1,0.440722315977315,-0.440722323194594,-2.96591280747715,0.443889026714371,-0.443889033945604,-1.96592283558437,0.00316673192187073,0.00316671602974005
2.12,0.447332454848056,-0.447332461742941,-2.96686168233512,0.450909067103392,-0.450909074311461,-1.96687447457329,0.00357664307065281,0.00357661988080979
2.14,0.453936547239498,-0.453936553330066,-2.96778371803942,0.457914896290173,-0.457914903465541,-1.96779954543015,0.00397839211376912,0.00397835954514495
2.16,0.460533377644739,-0.460533383536352,-2.96867967890642,0.464904920777535,-0.46490492792573,-1.96869878948388,0.00437160008511414,0.00437155705656436
2.18,0.46712151464666,-0.467121520835942,-2.96955030714882,0.471877576559546,-0.47187758368707,-1.96957292753405,0.00475613457466274,0.00475607984352064
2.2,0.473699075327629,-0.473699081637368,-2.97039631855341,0.478831325970941,-0.47883133307532,-1.97042265890106,0.0051323415627753,0.00513227317415628
2.22,0.480264426892272,-0.480264433334411,-2.97121841056908,0.485764667089298,-0.485764674169065,-1.97124866367243,0.00550035176939642,0.00550026793020375
2.24,0.486816136253545,-0.486816142883922,-2.97201726418115,0.492676133297167,-0.492676140349138,-1.97205160433859,0.00586013162323598,0.00586003058243234
2.26,0.493352970032733,-0.493352976805821,-2.97279354391133,0.499564293283324,-0.499564300303653,-1.97283212519365,0.00621148326176912,0.00621136319064815
2.28,0.49987379566339,-0.49987380220094,-2.97354789703828,0.506427749765382,-0.506427756751152,-1.97359085227816,0.00655414223909997,0.00655400102299974
2.3,0.506377018794911,-0.50637702473144,-2.97428094651462,0.513265132306535,-0.513265139253599,-1.97432839375495,0.00688833240917916,0.00688816798181585
2.32,0.512861089797925,-0.512861095553914,-2.97499329607634,0.52007510380862,-0.520075110721328,-1.97504533943709,0.00721426546895398,0.00721407658411033
2.34,0.519324641254258,-0.519324647504375,-2.97568553564748,0.526856362129434,-0.526856369012777,-1.97574226408065,0.00753200635911694,0.00753179208542184
2.36,0.525766472472007,-0.525766479537658,-2.97635824139481,0.53360763987721,-0.533607646730785,-1.97641972718967,0.0078414886175993,0.00784124775836045
2.38,0.532185548839645,-0.532185556082389,-2.97701197572343,0.540327704402374,-0.540327711218049,-1.9770782726148,0.00814251501517536,0.00814224552903539
2.4,0.538580712714211,-0.538580718899949,-2.97764728340618,0.547015353941097,-0.547015360706038,-1.97771842911455,0.00843504188077459,0.00843474124127768
