Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Hx,Hy,Hz,Alpha,Beta
24.32,-0.187999850346455,0.18651741537364,-0.562666616782152,-0.185098776363816,0.17500380898702,-1.56259642032827,-0.188000033690441,0.186517646329959,-0.562666915685281,-0.011514140214574,-0.00290126139676249
24.34,-0.199682007789828,0.197904787474029,-0.566560669263276,-0.196600469418615,0.185687494900284,-1.56648159979016,-0.199682183334551,0.197904981735444,-0.566560984913776,-0.0122178488193872,-0.00308171879377618
24.36,-0.211351847906374,0.209243329529422,-0.570450615968791,-0.208089838532562,0.196324863494822,-1.57036211422218,-0.21135196896028,0.209243407220548,-0.570450883295611,-0.0129189718219567,-0.00326213621340363
24.38,-0.223008650845385,0.220530243924228,-0.574336216948462,-0.219566247066446,0.206913497756099,-1.57423775241668,-0.223008692583904,0.220530178596522,-0.574336389495439,-0.0136171823527062,-0.00344245231657122
24.4,-0.234651697560344,0.231762745781209,-0.578217232520115,-0.231029056262617,0.21745093392369,-1.57810831304352,-0.23465165260854,0.231762530889638,-0.578217291487666,-0.0143121794830587,-0.00362260426931582
24.42,-0.246280269853296,0.242938063648613,-0.582093423284432,-0.242477615532049,0.227934695240614,-1.58197359024961,-0.246280145064346,0.242937710567532,-0.582093372273344,-0.0150036867026448,-0.00380253869596556
24.44,-0.257893650419114,0.254053440183968,-0.585964550139704,-0.253911262454334,0.238362291953327,-1.58583337365892,-0.25789346360849,0.254052975538995,-0.585964409982889,-0.0156914519193026,-0.0039822116791396
24.46,-0.269491122889789,0.265106132834443,-0.589830374296596,-0.265329322777701,0.248731221311738,-1.5896874483725,-0.269490899525159,0.265105595153547,-0.589830177978243,-0.0163752474590784,-0.00416158875974856
24.48,-0.281071971878587,0.276093414513509,-0.593690657292863,-0.27673111041899,0.259038967569187,-1.59353559496845,-0.281071741725505,0.276092850200705,-0.593690444954188,-0.0170548700662256,-0.004340644936994
24.5,-0.292635483024191,0.287012574273816,-0.597545161008064,-0.288115927463673,0.269283001982464,-1.59737758950194,-0.292635276747645,0.287012032909075,-0.597544975038668,-0.0177301409032056,-0.00451936466836883
24.52,-0.304180943034768,0.297860917976085,-0.601393647678256,-0.299483064165843,0.279460782811797,-1.60121320350517,-0.304180788756615,0.297860446945173,-0.601393527891893,-0.0184009055506871,-0.00469774186965711
24.54,-0.315707639731958,0.308635768953831,-0.605235879910653,-0.310831798948218,0.289569755320859,-1.60504220398746,-0.315707559544336,0.308635407412054,-0.605235858804081,-0.019067034007547,-0.00487577991493411
24.56,-0.327214862094811,0.319334468673802,-0.60907162069827,-0.322161398402141,0.299607351776766,-1.60886435343515,-0.327214868529577,0.319334240847718,-0.609071718791715,-0.0197284206908694,-0.00505349163656628
24.58,-0.338701900303654,0.329954377391935,-0.612900633434551,-0.333471117287578,0.309570991450072,-1.61267940981165,-0.338701992757909,0.329954285223334,-0.612900854692179,-0.0203849844359462,-0.00523089932521129
24.6,-0.35016804578386,0.340492874804661,-0.616722681927953,-0.344760198533122,0.319458080614781,-1.61648712655744,-0.350168206901658,0.340492889941264,-0.616723009256718,-0.0210366684962772,-0.00540803472981801
24.62,-0.361612591249557,0.350947360695429,-0.620537530416519,-0.356027873235983,0.329266012548329,-1.62028725259006,-0.361612783259842,0.350947415832923,-0.620537921241626,-0.0216834405435693,-0.00558493905762643
24.64,-0.373034830747282,0.361315255576286,-0.624344943582427,-0.367273372226508,0.338992211491219,-1.62407953368095,-0.373034996319067,0.361315251589428,-0.624345326219492,-0.0223252651328571,-0.0057616559704811
24.66,-0.384434059699496,0.371594001324306,-0.628144686566498,-0.378496043861989,0.348634453966966,-1.62786374917096,-0.384434160247541,0.371593908112024,-0.628144987598914,-0.0229618766582377,-0.00593815128365017
24.68,-0.395809574948058,0.381781061812777,-0.631936524982686,-0.38969527665777,0.358190510256442,-1.63163971509244,-0.395809593538403,0.381780872666251,-0.631936704228484,-0.0235929920809329,-0.00611435497843224
24.7,-0.40716067479761,0.391873923536961,-0.635720224932537,-0.400870443773217,0.367658123763897,-1.63540724407639,-0.40716061036611,0.391873641115825,-0.635720271807764,-0.024218363817374,-0.00629020807329222
24.72,-0.418486659058844,0.401870096234247,-0.639495553019614,-0.412020906977873,0.377035040752324,-1.63916614322551,-0.418486523178421,0.401869732076928,-0.639495480500051,-0.0248377641554795,-0.00646566124970696
24.74,-0.429786829091698,0.411767113498599,-0.643262276363899,-0.423146016651455,0.386319010343457,-1.64291621411417,-0.429786642696359,0.411766686916621,-0.643262115016508,-0.0254509852546557,-0.00664067485216524
24.76,-0.441060487848454,0.421562533389097,-0.647020162616151,-0.434245111783847,0.395507784517763,-1.64665725278842,-0.441060277914155,0.421562069751069,-0.647019954698957,-0.0260578391457958,-0.00681521888816763
24.78,-0.452306939916742,0.431253939032458,-0.650768979972247,-0.445317519975121,0.404599118114461,-1.65038904976598,-0.452306736099229,0.431253467443641,-0.650768773601174,-0.0266581577312812,-0.00698927302822683
24.8,-0.463525491562421,0.440838939219354,-0.654508497187474,-0.45636255743551,0.4135907688315,-1.65411139003627,-0.463525322792103,0.440838489602825,-0.654508340568522,-0.0272517927849802,-0.00716282660586725
24.82,-0.474715450772379,0.450315168994413,-0.658238483590793,-0.467379528985427,0.422480497225573,-1.65782405306035,-0.47471534180637,0.450314768580054,-0.658238419315839,-0.0278386159522488,-0.00733587861762533
24.84,-0.485876127297225,0.459680290239733,-0.661958709099075,-0.478367728055458,0.431266066712113,-1.661526812771,-0.485876095228628,0.459679959467384,-0.661958768503436,-0.0284185187499304,-0.00750843772304939
24.86,-0.497006832693855,0.468931992251778,-0.665668944231285,-0.489326436686364,0.439945243565294,-1.66521943757265,-0.497006883418412,0.468931740095088,-0.66566914181114,-0.0289914125663558,-0.00768052224469965
24.88,-0.508106880367936,0.478067992311517,-0.669368960122645,-0.50025492552908,0.448515796918029,-1.66890169034142,-0.50810700500813,0.478067811029141,-0.669369288010292,-0.0295572286613435,-0.00785216016814829
24.9,-0.519175585616239,0.487086036247638,-0.673058528538746,-0.511152453844713,0.456975498761972,-1.6725733284251,-0.519175756902993,0.487085895568639,-0.673058951033664,-0.0301159181661992,-0.00802338914197936
24.92,-0.530212265668886,0.495983898992739,-0.676737421889629,-0.522018269782859,0.465322125023545,-1.67623410367046,-0.530212434401778,0.495983740148607,-0.676737870048685,-0.0306674514127802,-0.00819425632031066
24.94,-0.541216239731461,0.504759385132329,-0.68040541324382,-0.532851686180888,0.473553656702319,-1.67988378508422,-0.541216357696688,0.504759178135583,-0.680405797481432,-0.0312116805087345,-0.0083647690617173
24.96,-0.552186829027016,0.513410329446516,-0.684062276342339,-0.543652117859591,0.481668213096295,-1.68352219790123,-0.5521868731739,0.513410078050406,-0.684062537904411,-0.03174835432101,-0.00853485893254846
24.98,-0.563123356837924,0.521934597444235,-0.687707785612641,-0.554418966842489,0.489663859158541,-1.68714917146199,-0.563123320813325,0.521934305168423,-0.687707901283363,-0.0322772728157906,-0.00870446388994242
25,-0.574025148547635,0.530330085889911,-0.691341716182545,-0.565151624292253,0.497538677673118,-1.69076452877786,-0.574025039507043,0.530329757328922,-0.691341691537564,-0.0327982506772699,-0.00887353166400103
25.02,-0.584891531682281,0.53859472332239,-0.694963843894093,-0.575849470510694,0.50529076925507,-1.69436808653104,-0.584891367059229,0.538594364932925,-0.69496370660181,-0.0333111173076505,-0.0090420197577895
25.04,-0.59572183595217,0.546726470566058,-0.69857394531739,-0.586511874938765,0.512918252350432,-1.69795965507464,-0.595721640186095,0.546726090940907,-0.698573738486897,-0.0338157168271441,-0.0092098954473365
25.06,-0.606515393293117,0.554723321233957,-0.702171797764372,-0.59713819615656,0.520419263236223,-1.70153903843262,-0.606515194515818,0.554722930870446,-0.70217157333852,-0.0343119080739717,-0.00937713578163412
25.08,-0.617271537907661,0.562583302222843,-0.705757179302554,-0.607727781883316,0.527791956020448,-1.70510603429981,-0.617271364588477,0.562582912793828,-0.705756991494473,-0.0347995646043636,-0.00954372758263789
